bookno,Title,Author,Language
2555-0.txt, Under the Redwoods, Bret Harte, English
44643-8.txt,The Funny Bone,Numerous,English
3184-0.txt, Alonzo Fitz and Other Stories, Mark Twain (Samuel Clemens), English
51828-0.txt, Liao zhai zhi yi, Songling Pu, Chinese
57687-0.txt, La Mort de la Terre, Joseph Henri Honoré Boex, French
23791.txt, Scrimshaw, William Fitzgerald Jenkins, English
46740-0.txt, Five selected short story, d.h.Lawrence, Farsi
51461.txt, A Pail of Air, Fritz Leiber, English
43742-8.txt, To Tell You the Truth, Leonard Merrick, English
29525.txt, The Leech, Phillips Barbee, English
6696-8.txt," Die Leute von Seldwyla, Vol. 1", Gottfried Keller, German
9205.txt," Sights from a Steeple (From ""Twice Told Tales"")", Nathaniel Hawthorne, English
49762.txt, Diagnosis, R. A. Palmer, English
21964-8.txt, The Short-story, William Patterson Atkinson, English
53048.txt, The Hermit of Mars, Stephen Bartholomew, English
22869.txt, The Dark Door, Alan Edward Nourse, English
58653.txt, The Revealing Pattern, Alvin Heiner, English
5403.txt, Short Stories for English Courses, Various (Rosa M. R. Mikels ed.), English
15381-8.txt, Victorian Short Stories, Various, English
13691-8.txt, Lastuja I-III, Juhani Aho, Finnish
42989-8.txt, The Plattner Story and Others, H. G. Wells, English
18632-8.txt, Crossroads of Destiny, Henry Beam Piper, English
27736-8.txt, La condenada, Vicente Blasco Ibez, Spanish
4368-8.txt, Flappers and Philosophers, F. Scott Fitzgerald, English
19362-8.txt, In the Year 2889, Jules Verne and Michel Verne, English
23445-8.txt, The Best Short Stories of 1919, Various, English
24558.txt, Watch the Sky, James H. Schmitz, English
13085-8.txt, A Diversity of Creatures, Rudyard Kipling, English
292-0.txt," Beauty and The Beast, and Tales From Home", Bayard Taylor, English
51662.txt, Breakdown, Herbert D. Kastle, English
3715.txt, The Parenticide Club, Ambrose Bierce, English
3080-0.txt," Original Short Stories, Volume 4 (of 13)", Guy de Maupassant, English
2886-0.txt, Tales of the Argonauts, Bret Harte, English
32104.txt, Turning Point, Alfred Coppel, English
50959.txt, End as a World, F. L. Wallace, English
694.txt,Stories from Everybodys Magazine,Numerous,English
2381-0.txt, Actions and Reactions, Rudyard Kipling, English
2715-0.txt, The Real Thing and Other Tales, Henry James, English
1466.txt,Creatures That Once Were Men,Gorky,English
870.txt, The Love of Ulrich Nebendahl, Jerome K. Jerome, English
24873-8.txt," Lucy Maud Montgomery Short Stories, 1896 to 1901", Lucy Maud Montgomery, English
2728-0.txt, Hunter Quatermain’s Story, H. Rider Haggard, English
50543-0.txt, Short Stories for High Schools, Various, English
32716.txt, Cancer World, Harry Warner, English
30673.txt, Sound of Terror, Don Berry, English
51820-8.txt, Little French Masterpieces, Honor de Balzac, English
59148.txt, The Cyber and Justice Holmes, Frank Riley, English
34627-8.txt, The Dealings of Captain Sharkey, A. Conan Doyle, English
2429-0.txt, Lost Face, Jack London, English
8914-8.txt," England, My England", D.H. Lawrence, English
29487.txt, Forever, Robert Sheckley, English
56527-0.txt, In a Quiet Village, Sabine Baring-Gould, English
31218-8.txt, Flten und Dolche, Heinrich Mann, German
33839.txt, Problem on Balak, Roger D. Aycock, English
59376.txt, The Patriot, Charles L. Fontenay, English
