bookno,Title,Author,Language
57040-0.txt, Novelle Napolitane, Salvatore Di Giacomo, Italian
32907.txt, You Too Can Be A Millionaire, Noel Miller Loomis, English
932.txt, The Fall of the House of Usher, Edgar Allan Poe, English
35004-8.txt, Abb Aubain and Mosaics, Prosper Mrime, English
51046.txt, ...And It Comes Out Here, Lester del Rey, English
59368.txt, Juvenile Delinquent, Edward W. Ludwig, English
58568-8.txt, Tales of the Trail, Henry Inman, English
19000.txt, Printcrime, Cory Doctorow, English
39378-8.txt, Mortal Coils, Aldous Huxley, English
39658-0.txt, Novelle, Cesare Balbo, Italian
11512-8.txt, O. Henry Memorial Award Prize Stories of 1921, Various, English
2781-0.txt, Just So Stories, Rudyard Kipling, English
23439.txt, Attention Saint Patrick, William Fitzgerald Jenkins, English
28693-8.txt, Tales of the Fish Patrol, Jack London, English
26569.txt, Monkey On His Back, Charles V. De Vet, English
28550.txt, Song in a Minor Key, Catherine Lucille Moore, English
31767.txt, The Peacemaker, Alfred Coppel, English
142-0.txt," The $30,000 Bequest and Other Stories", Mark Twain, English
55024-8.txt, The Queen of Spades and other stories, Alexander Pushkin, English
50819.txt, A Bad Day for Sales, Fritz Leiber, English
26743.txt, The Putnam Tradition, Sonya Hess Dorman, English
243-0.txt, The Forged Coupon and Other Stories, Leo Tolstoy, English
29458.txt, Cost of Living, Robert Sheckley, English
31660-8.txt, Die Ermordung einer Butterblume und andere Erzhlungen, Alfred Dblin, German
32078.txt, Love Story," Irving E. Cox, Jr.", English
59034.txt, The Big Leap, Charles E. Fritch, English
688.txt, The Goodness of St. Rocque and Other Stories, Alice Dunbar, English
30170-8.txt, Lonesome Hearts, Russell Robert Winterbotham, English
24949.txt, Control Group, Roger Dee, English
18831-8.txt, Time and Time Again, Henry Beam Piper, English
40745-8.txt, Short Stories, Fiodor Dostoievski, English
2038-8.txt, The Lock And Key Library, Various, English
24975.txt, The Gift Bearer, Charles Louis Fontenay, English
38575-8.txt, Strange Stories, Grant Allen, English
17398.txt, The Cabman's Story, Arthur Conan Doyle, English
19336-8.txt, The Tangled Threads, Eleanor H. Porter, English
29504.txt, What's He Doing in There?, Fritz Reuter Leiber, English
13094-8.txt, Heart of the West, O. Henry, English
11905-8.txt, Sous les marronniers, Eugne Muller, French
22701-0.txt, The Blindman’s World, Edward Bellamy, English
32772-8.txt, Rewards and Fairies, Rudyard Kipling, English
1583-8.txt, Options, O. Henry, English
3047.txt, Life's Little Ironies, Thomas Hardy, English
40968.txt, Desire No More, Algirdas Jonas Budrys, English
1858-0.txt, Plain Tales from the Hills, Rudyard Kipling, English
40954.txt, Potential Enemy, Mack Reynolds, English
34920-8.txt, Silver Pitchers: and Independence, Louisa May Alcott, English
59053-0.txt, The Automatic Maid-of-All-Work, M. L. Campbell, English
12461-8.txt, Castles in the Air, Baroness Emmuska Orczy, English
25328-0.txt, Tou Peng Hsien Hua, Aina Jushi, Chinese
22875.txt, Circus, Alan Edward Nourse, English
28804-8.txt, Oswald Bastable and Others, Edith Nesbit, English
58883.txt, The Men of Boru, Jack A. Nelson, English
29908.txt, The Adventurer, Cyril M. Kornbluth, English
22590-8.txt, Wind, Charles Louis Fontenay, English
51482.txt, Perfect Answer, L.J. Stecher, English
34766-0.txt," Shorter Novels, Eighteenth Century", Samuel Johnson, English
23799.txt, Cry from a Far Planet, Tom Godwin, English
23160.txt, Solomon's Orbit, William Carroll, English
25525-0.txt," The Works of Edgar Allan Poe, The Raven Edition", Edgar Allan Poe, English
23612.txt, The Leader, William Fitzgerald Jenkins (AKA Murray Leinster), English
32079.txt, The Small World of M-75," Ed M. Clinton, Jr.", English
34420.txt, Riya's Foundling, Algirdas Jonas Budrys, English
32737.txt, Uniform of a Man, Dave Dryfoos, English
30120.txt, The Happy Prince and Other Tales, Oscar Wilde, English
32046-8.txt, Tales from the German, Various, English
23148.txt, Droozle, Frank Banta, English
29303.txt, Operation Earthworm, Joe Archibald, English
5741.txt, Stories by Foreign Authors: Russian, Various, English
2459-0.txt, Trent's Trust and Other Stories, Bret Harte, English
57322-0.txt, The Bellman Book of Fiction, Various, English
18109.txt, Graveyard of Dreams, Henry Beam Piper, English
51509.txt, Doorstep, Keith Laumer, English
29897.txt, Runaway, William Morrison, English
51092.txt, Rattle OK, Harry Warner, English
5779-0.txt, The Crushed Flower and Other Stories, Leonid Andreyev, English
43627-0.txt, Strange Stories from a Chinese Studio Vol. I (of 2), Songling Pu, English
19029.txt, The Gifts of Asti, Andre Alice Norton, English
6991-8.txt, Across the Years, Eleanor H. Porter, English
29698.txt, Lighter Than You Think, Nelson Bond, English
24350-0.txt, Kerfol, Edith Wharton, English
6039.txt, Stories by English Authors: England, Various, English
22966.txt, Toy Shop, Henry Maxwell Dempsey, English
359-0.txt, Good Stories For Great Holidays, Frances Jenkins Olcott, English
49651.txt, Tedric, Edward Elmer Smith, English
788-0.txt, The Red One, Jack London, English
